URL;Headline;Publish Date;Publication Reach;Article Reach;Publication Name;Publication Location;Language;Brand;Content Type;Story Type;Authors
https://www.finsmes.com/2025/09/mycroft-raises-3-5m-in-seed-funding.html;Mycroft Raises $3.5M in Seed Funding;22 Sep 2025;277107;622;finsmes.com;United Kingdom;English;Antler;General News;Passing Mention;NA
https://regtechanalyst.com/mycroft-secures-3-5m-to-scale-ai-security-platform/;Mycroft secures $3.5m to scale AI security platform;22 Sep 2025;NA;NA;regtechanalyst.com;United States;English;Antler;General News;Passing Mention;NA
https://www.citybuzz.co/2025/09/22/mycroft-secures-3-5m-seed-funding-to-expand-ai-powered-security-and-compliance-platform/;Mycroft Secures $3.5M Seed Funding to Expand AI-Powered Security and Compliance Platform;22 Sep 2025;6794;25;citybuzz.co;United States;English;Antler;General News;Passing Mention;NA
https://innovations.fr/mycroft-securite-innovante-pour-startups/;Mycroft : Sécurité Innovante pour Startups;22 Sep 2025;NA;NA;innovations.fr;France;French;Antler;General News;Passing Mention;NA
https://siliconangle.com/2025/09/22/mycroft-launches-3-5m-bring-agentic-ai-security-compliance/;Mycroft launches with $3.5M to bring agentic AI to security and compliance;22 Sep 2025;1258056;4942;siliconangle.com;United States;English;Antler;General News;Passing Mention;Duncan Riley
https://www.citybiz.co/article/747875/mycroft-raises-3-5m-to-redefine-security-and-compliance-for-fast-growing-companies/;Mycroft Raises $3.5M to Redefine Security and Compliance for Fast-Growing Companies;22 Sep 2025;42039;76;citybiz.co;United States;English;Antler;General News;Passing Mention;NA
https://capitalcroissance.fr/2025/09/22/capital-croissance-accueille-arnaud-tardan-en-tant-que-managing-partner-pour-accelerer-le-developpement-de-sa-strategie-k2-et-poursuit-la-structuration-de-ses-equipes-avec-les-arrivees-de-plusieurs-re/;CAPITAL CROISSANCE ACCUEILLE ARNAUD TARDAN EN TANT QUE MANAGING PARTNER POUR ACCÉLÉRER LE DÉVELOPPEMENT DE SA STRATÉGIE K2 ET POURSUIT LA STRUCTURATION DE SES ÉQUIPES AVEC LES ARRIVÉES DE PLUSIEURS RE...;22 Sep 2025;NA;NA;capitalcroissance.fr;France;French;Antler;General News;Passing Mention;NA
https://www.tekniskfokus.dk/dansk-ai-startup-giver-ai-en-menneskelig-forstaaelse/;Dansk startup giver AI en menneskelig forståelse – millioninvestering skal brede teknologien ud;22 Sep 2025;NA;NA;tekniskfokus.dk;Denmark;Danish;Antler;General News;Passing Mention;NA
https://www.wamda.com/2025/09/mubadala-antler-hub71-roll-national-founders-program;Antler, Mubadala partner to launch National Founders Programme;22 Sep 2025;156636;326;wamda.com;Egypt;English;Antler;General News;Feature Story;NA
https://www.wamda.com/en/2025/09/mubadala-antler-hub71-roll-national-founders-program;Antler, Mubadala partner to launch National Founders Programme;22 Sep 2025;156636;326;wamda.com;Egypt;English;Antler;General News;Feature Story;NA
https://betakit.com/mycroft-nabs-3-5-million-usd-to-help-other-tech-startups-simplify-security-and-compliance-with-agentic-ai/;Mycroft raises $3.5 million USD to deliver “Goldilocks” security for startups;22 Sep 2025;193447;302;betakit.com;Canada;English;Antler;General News;Passing Mention;Josh Scott
https://hrtoday.in/guillaume-barre-appointed-as-chief-marketing-officer-at-hungry-hub/;Guillaume Barre Appointed as Chief Marketing Officer at Hungry Hub;22 Sep 2025;20945;337;hrtoday.in;India;English;Antler;General News;Passing Mention;Smita Singh
https://www.pulselive.co.ke/articles/business/domestic/youre-invited-africa-startup-festival-nairobi-2025092206175295812;You're invited: Africa Startup Festival Nairobi;22 Sep 2025;679802;6341;pulselive.co.ke;Kenya;English;Antler;General News;Feature Story;NA
https://www.indianstartuptimes.com/investment/pascal-ai-raises-3-1m-seed-funding-to-advance-autonomous-investment-research/;Pascal AI Raises $3.1M Seed Funding to Advance Autonomous Investment Research;22 Sep 2025;8586;59;indianstartuptimes.com;India;English;Antler;General News;Passing Mention;NA
https://www.breakit.se/artikel/44153/trion-bakom-emfas-vill-automatisera-e-handlares-kataloger-backas-av-tunga-angelinvesterare;Trion bakom Emfas vill automatisera e-handlares kataloger – backas av tunga ängelinvesterare;22 Sep 2025;605703;2752;breakit.se;Sweden;Swedish;Antler;General News;Passing Mention;Asa Johansson
https://stockbiz.vn/tin-tuc/thi-thuc-my-tang-gia-cac-nuoc-vung-vinh-thu-hut-nhan-tai-cong-nghe/35519370;Thị thực Mỹ tăng giá, các nước vùng Vịnh thu hút nhân tài công nghệ;22 Sep 2025;NA;NA;stockbiz.vn;Vietnam;Vietnamese;Antler;General News;Passing Mention;NA
https://fireant.vn/bai-viet/thi-thuc-my-tang-gia-cac-nuoc-vung-vinh-thu-hut-nhan-tai-cong-nghe/35519370;Thị thực Mỹ tăng giá, các nước vùng Vịnh thu hút nhân tài công nghệ;22 Sep 2025;NA;NA;fireant.vn;Vietnam;Vietnamese;Antler;General News;Passing Mention;NA
https://bnews.vn/thi-thuc-my-tang-gia-cac-nuoc-vung-vinh-thu-hut-nhan-tai-cong-nghe/388429.html;Thị thực Mỹ tăng giá, các nước vùng Vịnh thu hút nhân tài công nghệ;22 Sep 2025;934154;20438;bnews.vn;Vietnam;Vietnamese;Antler;General News;Passing Mention;NA
https://www.ebiotrade.com/newsf/2025-9/20250922081827811.htm;YAP通过维持钙稳态与线粒体功能调控鹿茸软骨细胞肥大与凋亡的机制研究;22 Sep 2025;NA;NA;ebiotrade.com;China;Chinese;Antler;General News;Industry Story;NA
https://www.thesaasnews.com/news/pascal-ai-labs-raises-3-1m-in-seed-round;Pascal AI Labs Raises $3.1M in Seed Round;22 Sep 2025;43605;11;thesaasnews.com;United States;English;Antler;General News;Passing Mention;NA