portco_name;"portco_location
";"portco_deal_lead
";"ai
";"vehicle
"
Prima Mente;;;;UK1, Elevate I
Leetify;;;;Elevate I
Dispatcher;;;;Elevate I
Salmon;;;;Elevate I
HIFI;;;;US 1, Elevate I
Pemo;;;;Elevate I
Wrtn;;;;Elevate I
Agentio;;;;Elevate I
Micro1;;;;Elevate I
Cloud Cycle;;;;Elevate I
Moving Tech (Namma Yatri);;;;IND1, Elevate I
Bootloader;;;;Elevate I
Conversion AI;;;;Elevate I
Break Sports;;;;US 1, Elevate I
FiberSense;;;;Elevate I
Pixverse;;;;Elevate I
Modelcode AI;;;;Elevate I
Endless Health;;;;Elevate I
Komi;;;;Elevate I
Wholesum;;;;Elevate I
Two;;;;Elevate I
Bitewell;;;;Elevate I
Inshur;;;;Elevate I
Upcover;;;;Elevate I
Airalo;;;;Elevate I
FileAI (Bluesheets);;;;SEA 1, Elevate I
Boxo;;;;SEA 1, Elevate I
Shuffle;;;;Elevate I
Chexy;;;;CAN 1, Elevate I
Locad;;;;Elevate I
Juno;;;;Elevate I
Earlytrade;;;;Elevate I
TrueFoundry;;;;Elevate I
Amino Chain;;;;Elevate I
Klearly;;;;Elevate I
Glint Solar;;;;Elevate I
Teton;;;;Elevate I
Sona;;;;Elevate I
Tactiq;;;;Elevate I
Treyd;;;;Elevate I
Vamstar;;;;UK1, Elevate I
Hulcan (Heat);;;;Elevate I
Qashier;;;;SEA 1, Elevate I
PowerX;;;;US 1, Elevate I
Peec AI;;;;CE1, Elevate I
Deliverect;;;;Elevate I
Vero Technologies;;;;US 1, Elevate I
Staffinc;;;;SEA 1, Elevate I
Upflowy;;;;Elevate I
Evyon;;;;NOR I, Elevate I
Volopay;;;;SEA 2, Elevate I
Unseen;;;;Elevate I
Folio;;;;US 1, Elevate I
Pickup Coffee;;;;Elevate I
Brick;;;;SEA 1, Elevate I
Prometeo;;;;Elevate I
Reebelo;;;;SEA 1, Elevate I
Sastaticket;;;;Elevate I
SweatPals;;;;US 1, Elevate I
Benjamin Capital;;;;US 1, Elevate I
LogX;;;;IND1, Elevate I
Dawaai;;;;Elevate I